uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0941224V;COLLEGE FRANCOIS RABELAIS;102;94.0;89.0;56;80.4;25.7
0941351H;COLLEGE LOUIS ISSAURAT;118;85.0;92.0;66;92.2;28.8
0941598B;COLLEGE HECTOR BERLIOZ;121;100.0;98.0;113;146.1;31.8
0941601E;COLLEGE ROMAIN ROLLAND;135;96.0;95.0;86;87.4;31.2
0941679P;COLLEGE ALBERT CRON;87;82.0;90.0;46;96.9;29.9
0941712A;COLLEGE PRIVE SAINTE THERESE;167;100.0;96.0;167;134.7;26.0
0941781A;COLLEGE HENRI WALLON;185;89.0;93.0;114;90.2;31.0
0941783C;COLLEGE DANIEL FERY;139;81.0;90.0;78;103.7;32.1
0942187S;COLLEGE SIMONE VEIL;98;93.0;97.0;78;120.8;29.7
0942434K;COLLEGE JOSETTE ET MAURICE AUDIN;91;96.0;96.0;70;105.1;35.8
0942482M;COLLEGE SAMUEL PATY;97;90.0;97.0;58;86.3;23.8
0950739M;COLLEGE ANTOINE DE SAINT EXUPERY;127;78.0;91.0;62;86.2;27.6
0950752B;COLLEGE PRIVE SAINTE THERESE;102;96.0;79.0;86;116.5;26.1
0950788R;COLLEGE PRIVE SAINTE GENEVIEVE;109;100.0;94.0;100;127.0;28.2
0950886X;COLLEGE CLAUDE MONET;120;74.0;88.0;56;76.3;21.7
0950896H;COLLEGE NICOLAS FLAMEL;120;88.0;90.0;72;91.6;30.6
0950898K;COLLEGE PIERRE ET MARIE CURIE;179;87.0;96.0;112;116.4;33.0
0951050A;COLLEGE PIERRE CURIE;117;91.0;92.0;89;87.8;29.5
0951099D;COLLEGE JACQUES DAGUERRE;152;89.0;94.0;103;120.5;37.0
0951138W;COLLEGE JEAN-JACQUES ROUSSEAU;143;80.0;92.0;78;86.2;27.2
0951154N;COLLEGE CAMILLE CLAUDEL;126;85.0;91.0;68;98.3;30.1
0951194G;COLLEGE PABLO PICASSO;130;89.0;92.0;74;104.0;33.8
0951232Y;COLLEGE MARIE SKLODOWSKA-CURIE;114;97.0;93.0;95;120.8;30.4
0951504U;COLLEGE PRIVE NOTRE-DAME;254;100.0;92.0;240;137.1;27.0
0951509Z;COLLEGE PRIVE LA SALLE  -  SAINT ROSAIRE;157;99.0;79.0;128;106.4;31.5
0951527U;COLLEGE HENRI GUILLAUMET;147;92.0;93.0;87;110.9;34.0
0951672B;COLLEGE LEONARD DE VINCI;108;77.0;91.0;54;101.1;34.3
0951682M;COLLEGE PRIVE TORAT EMET;31;100.0;84.0;30;114.4;27.7
0952036X;COLLEGE HENRI MATISSE;137;79.0;94.0;69;76.6;24.8
0952127W;COLLEGE AIME CESAIRE;156;88.0;98.0;109;111.5;34.4
6200010S;COLLEGE FESCH;129;95.0;94.0;115;125.8;30.6
6200045E;COLLEGE DU TARAVU;37;86.0;98.0;26;95.0;25.6
6200191N;COLLEGE BALEONE;135;90.0;92.0;100;105.5;29.9
7200004S;COLLEGE PASCAL PAOLI;98;83.0;91.0;63;107.4;30.8
7200020J;COLLEGE PH PESCETTI;66;91.0;96.0;52;96.8;28.4
7200044K;COLLEGE MARIA GHJENTILE;47;96.0;97.0;43;104.6;27.9
7200139N;COLLEGE PRIVE PENSIONNAT JEANNE D'ARC;108;99.0;97.0;95;122.2;26.1
7200160L;COLLEGE LA CASINCA HENRI TOMASI;108;83.0;93.0;71;92.5;29.4
7200727C;COLLEGE CAMPO VALLONE;148;87.0;93.0;108;108.2;27.7
9710015P;COLLEGE GENERAL DE GAULLE;118;93.0;91.0;69;86.1;29.5
9710023Y;COLLEGE BEBEL;119;87.0;94.0;63;89.7;31.7
9710040S;COLLEGE MAURICE SATINEAU;228;92.0;88.0;137;98.5;32.3
9710045X;COLLEGE SUZE ANGELY;71;94.0;96.0;38;90.9;29.7
9710073C;COLLEGE SADI CARNOT;88;91.0;87.0;45;89.6;31.7
9710403L;COLLEGE FLORETTE MORAND;157;89.0;95.0;82;94.5;29.8
9710405N;COLLEGE RAIZET;107;68.0;87.0;36;87.6;28.2
9710482X;COLLEGE JOSEPH PITAT;72;76.0;89.0;32;87.3;30.9
9710644Y;COLLEGE MATELIANE;62;92.0;85.0;24;94.4;29.1
9710826W;COLLEGE SAINT-JOHN PERSE;150;93.0;86.0;101;94.8;34.4
