uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0711146K;COLLEGE BOIS DES DAMES;80;88.0;90.0;51;97.3;28.3
0711252A;COLLEGE JORGE SEMPRUN;110;91.0;94.0;81;97.4;26.6
0711293V;COLLEGE LOUIS PASTEUR;108;96.0;96.0;86;102.2;30.4
0711294W;COLLEGE DU VALLON;78;87.0;94.0;55;91.8;30.4
0711348E;COLLEGE JEAN VILAR;147;97.0;89.0;113;94.4;30.5
0711449P;COLLEGE HENRI VINCENOT;171;83.0;93.0;103;96.1;29.1
0711451S;COLLEGE OLIVIER DE LA MARCHE;69;94.0;100.0;52;102.7;26.7
0720002L;COLLEGE NORMANDIE-MAINE;57;91.0;91.0;41;102.2;26.5
0720014Z;COLLEGE ANDRE PIOGER;69;100.0;98.0;60;96.5;32.3
0720040C;COLLEGE AMBROISE PARE;102;90.0;83.0;76;116.2;36.3
0720051P;COLLEGE JULES FERRY;38;100.0;91.0;29;94.9;32.7
0720068H;COLLEGE LEON TOLSTOI;83;76.0;85.0;48;90.5;36.1
0720081X;COLLEGE ALAIN-FOURNIER;92;74.0;86.0;45;79.4;28.7
0720797A;COLLEGE JOSEPHINE BAKER;76;79.0;82.0;36;78.0;24.6
0720989J;COLLEGE SIMONE VEIL;94;84.0;90.0;59;81.3;24.6
0721042S;COLLEGE JEAN ROSTAND;96;97.0;91.0;81;106.7;30.2
0721090U;COLLEGE JOSEPH WEISMANN;91;95.0;92.0;72;109.1;39.8
0721226S;COLLEGE LES QUATRE-VENTS;46;89.0;89.0;37;89.7;29.9
0721304B;COLLEGE JACQUES PREVERT;81;95.0;92.0;64;102.2;30.5
0730022C;COLLEGE BEATRICE DE SAVOIE;94;93.0;96.0;78;111.6;31.9
0730023D;COLLEGE JOSEPH FONTANET;108;94.0;84.0;80;108.4;32.2
0730791N;COLLEGE PRIVE CATHOLIQUE LAMARTINE;114;100.0;97.0;107;119.1;25.9
0730796U;COLLEGE PRIVE SAINTE THERESE;32;100.0;64.0;26;102.9;22.3
0730810J;COLLEGE JOSEPH ET XAVIER DE MAISTRE;119;96.0;86.0;100;115.5;34.9
0730853F;COLLEGE MARLIOZ;112;89.0;89.0;82;112.7;36.5
0730903K;COLLEGE MAURIENNE;127;93.0;94.0;98;105.1;30.1
0730904L;COLLEGE LA COMBE DE SAVOIE;149;87.0;89.0;102;93.8;35.3
0731114P;COLLEGE DU VAL GELON;136;90.0;95.0;106;111.9;34.7
0731224J;COLLEGE JEAN MOULIN;75;85.0;84.0;55;101.9;30.8
0740015P;COLLEGE FRANCOIS MUGNIER;133;93.0;90.0;106;109.8;31.9
0740020V;COLLEGE DU BAS CHABLAIS;142;85.0;91.0;97;107.9;32.1
0740032H;COLLEGE LE CLERGEON;136;90.0;96.0;97;101.8;33.0
0740071A;COLLEGE EVIRE;115;72.0;89.0;70;96.4;35.6
0741096P;COLLEGE JACQUES PREVERT;147;85.0;95.0;97;106.9;34.7
0741165P;COLLEGE MICHEL SERVET;250;72.0;87.0;132;82.8;27.2
0741281R;COLLEGE PRIVE SAINT JOSEPH;87;100.0;84.0;81;111.0;29.6
0741282S;COLLEGE PRIVE LA PRESENTATION DE MARIE;139;99.0;88.0;123;131.1;29.5
0741514U;COLLEGE PAUL EMILE VICTOR;214;84.0;90.0;143;106.0;34.4
0750465Y;COLLEGE LUCIE ET RAYMOND AUBRAC;96;85.0;96.0;73;118.3;42.4
0750478M;COLLEGE JEAN-BAPTISTE CLEMENT;93;82.0;93.0;59;105.6;40.6
0750484U;COLLEGE W A  MOZART;72;82.0;94.0;47;95.4;34.8
0750552T;COLLEGE FRANCOISE DOLTO;117;85.0;94.0;81;116.5;41.6
0751703U;COLLEGE JEAN-BAPTISTE POQUELIN;80;90.0;90.0;62;125.8;40.8
0751790N;COLLEGE PIERRE ALVISET;138;100.0;96.0;137;145.9;32.8
0752186U;COLLEGE RAYMOND QUENEAU;111;94.0;90.0;97;137.2;38.8
0752189X;COLLEGE GUY FLAVIEN;107;92.0;91.0;79;118.3;40.2
0752250N;COLLEGE PAUL GAUGUIN;105;99.0;92.0;96;134.5;40.2
0752318M;COLLEGE MODIGLIANI;132;81.0;88.0;82;105.1;39.2
0752387M;COLLEGE ANDRE MALRAUX;109;98.0;89.0;95;132.6;36.8
0752524L;COLLEGE VICTOR HUGO;108;98.0;88.0;102;130.5;40.0
0752527P;COLLEGE MONTAIGNE;148;99.0;95.0;135;139.4;32.8
0752530T;COLLEGE OCTAVE GREARD;172;95.0;91.0;153;139.8;37.5
0752533W;COLLEGE JULES FERRY;106;90.0;95.0;85;127.1;41.0
0752542F;COLLEGE JEAN-FRANCOIS OEBEN;108;95.0;89.0;92;118.6;39.4
0752552S;COLLEGE CARNOT;147;97.0;90.0;124;140.4;34.8
0752555V;COLLEGE HENRI BERGSON;95;86.0;84.0;68;102.2;38.5
0752556W;COLLEGE HELENE BOUCHER;111;95.0;90.0;83;117.4;39.8
0752696Y;COLLEGE LEON GAMBETTA;135;87.0;88.0;88;106.1;37.2
0752842G;COLLEGE PRIVE FENELON SAINTE-MARIE;265;99.0;94.0;254;149.3;13.5
0752843H;COLLEGE PRIVE BLOMET;172;100.0;97.0;172;145.4;16.7
0752895P;COLLEGE PRIVE CHARLES PEGUY;119;100.0;88.0;118;134.0;28.4
0752896R;COLLEGE PRIVE NOTRE-DAME DE FRANCE;78;100.0;84.0;78;141.7;19.5
0752897S;COLLEGE PRIVE LA TOUR;146;100.0;80.0;145;146.1;16.2
0752923V;COLLEGE PRIVE ROCROY SAINT VINCENT DE PAUL;166;100.0;92.0;160;143.3;20.4
0752925X;COLLEGE PRIVE SAINTE-GENEVIEVE;89;96.0;87.0;78;140.9;23.3
0752934G;COLLEGE PRIVE SAINT-MICHEL DE PICPUS;244;100.0;93.0;232;143.5;20.3
0753047E;COLLEGE LA GRANGE AUX BELLES;92;84.0;91.0;64;114.2;40.9
0753381T;COLLEGE PRIVE SAINT-VINCENT;165;99.0;91.0;152;122.8;31.4
0753518S;COLLEGE GUSTAVE FLAUBERT;136;95.0;91.0;107;108.8;35.5
0753936W;COLLEGE GERMAINE TILLION;96;89.0;87.0;66;99.4;38.6
0753937X;COLLEGE EVARISTE GALOIS;93;95.0;96.0;74;92.8;33.6
0753982W;COLLEGE PRIVE LA SALLE NOTRE-DAME DE LA GARE;119;100.0;96.0;112;130.7;27.4
0753996L;COLLEGE PRIVE SAINT-HONORE D'EYLAU;80;100.0;76.0;80;138.5;25.2
0754253R;COLLEGE SAINT-EXUPERY;73;100.0;98.0;64;135.9;36.4
0755000C;COLLEGE THOMAS MANN;127;90.0;86.0;97;98.3;38.3
0755433Y;COLLEGE AIME CESAIRE;86;80.0;79.0;53;85.5;37.1
0760004S;COLLEGE GUY DE MAUPASSANT;71;96.0;96.0;55;99.5;30.8
0760118R;COLLEGE ALBERT CAMUS;162;82.0;92.0;108;96.4;32.4
0760173A;COLLEGE JEAN ZAY;97;79.0;89.0;52;96.6;33.0
0761328F;COLLEGE PRIVE SACRE-COEUR;104;96.0;84.0;82;96.5;26.5
0761691A;COLLEGE EMILE ZOLA;168;82.0;90.0;113;101.3;38.2
0761692B;COLLEGE JULES MICHELET;88;94.0;92.0;67;114.9;40.9
0761697G;COLLEGE CLAUDE BERNARD;84;92.0;85.0;58;87.2;27.6
0761703N;COLLEGE ALBERT CAMUS;49;86.0;93.0;29;74.7;24.3
0761704P;COLLEGE JULES FERRY;79;85.0;91.0;39;90.3;28.8
0761711X;COLLEGE PRIVE LES ORMEAUX;157;99.0;85.0;151;122.2;28.3
0761737A;COLLEGE DENIS DIDEROT;106;88.0;87.0;65;85.6;28.9
0761745J;COLLEGE CAMILLE CLAUDEL;119;81.0;81.0;77;81.7;30.0
0761776T;COLLEGE JACQUES-EMILE BLANCHE;155;85.0;89.0;104;93.0;28.8
0761778V;COLLEGE JEAN-JACQUES ROUSSEAU;89;82.0;89.0;54;100.2;36.4
0761780X;COLLEGE GEORGES BRAQUE;98;80.0;81.0;51;76.1;23.6
0761951H;COLLEGE HENRI DE NAVARRE;124;82.0;97.0;82;98.2;30.6
0762080Y;COLLEGE HENRI MATISSE;57;74.0;94.0;30;82.7;23.4
0762132E;COLLEGE ROBESPIERRE;60;88.0;94.0;46;72.0;20.3
0762177D;COLLEGE LA HETRAIE;55;91.0;93.0;44;105.3;29.7
0762225F;COLLEGE ALEXANDRE DUMAS;129;93.0;94.0;99;100.0;31.4
0762226G;COLLEGE THEOPHILE GAUTIER;68;88.0;89.0;38;89.9;26.7
0762461M;COLLEGE JEAN RENOIR;69;91.0;89.0;49;94.7;34.0
0762563Y;COLLEGE PRIVE FENELON;201;99.0;97.0;168;118.8;27.6
0762564Z;COLLEGE PRIVE SAINT JOSEPH;272;99.0;93.0;233;133.3;30.6
0770002J;COLLEGE DENECOURT;126;95.0;94.0;98;133.4;35.5
0770005M;COLLEGE JEAN JAURES;75;91.0;91.0;56;102.6;31.6
0770033T;COLLEGE LES CAPUCINS;74;95.0;86.0;42;81.3;25.4
0770038Y;COLLEGE ALFRED SISLEY;154;99.0;93.0;127;119.5;33.1
0770057U;COLLEGE LES CREUSOTTES;84;80.0;95.0;47;99.8;28.2
0770059W;COLLEGE LES TOURNELLES;82;88.0;95.0;50;102.1;27.4
0770928R;COLLEGE INTERNATIONAL;222;98.0;92.0;201;130.2;39.1
0771176K;COLLEGE JULES VERNE;78;99.0;93.0;59;91.0;29.0
0771220H;COLLEGE PRIVE SAINTE MARIE;88;100.0;91.0;86;132.3;26.1
0771222K;COLLEGE PRIVE SAINTE CELINE;104;100.0;91.0;93;124.0;28.9
0771225N;COLLEGE PRIVE SAINTE COLOMBE;53;96.0;85.0;42;129.7;27.6
0771236A;COLLEGE PRIVE SAINTE THERESE;47;94.0;90.0;28;132.4;30.2
0771471F;COLLEGE PIERRE WECZERKA;202;92.0;91.0;146;96.2;32.5
0771475K;COLLEGE LES AULNES;151;92.0;98.0;124;102.9;31.3
0771513B;COLLEGE HIPPOLYTE REMY;108;96.0;94.0;75;105.4;30.2
0771518G;COLLEGE LOUIS ARMAND;171;82.0;90.0;101;84.0;25.0
0771615M;COLLEGE GEORGES BRASSENS;114;85.0;95.0;80;99.5;28.6
0771618R;COLLEGE LES MAILLETTES;142;93.0;94.0;104;88.8;31.6
0771619S;COLLEGE CHARLES PEGUY;130;91.0;95.0;85;111.7;31.3
0771657H;COLLEGE ANCEAU DE GARLANDE;156;94.0;95.0;109;99.1;30.9
0772128V;COLLEGE SAINT LOUIS;95;87.0;91.0;56;98.3;30.5
0772189L;COLLEGE HUTINEL;124;91.0;93.0;90;105.2;32.9
0772246Y;COLLEGE LE CHAMPIVERT;51;92.0;95.0;36;99.9;27.6
0772713F;COLLEGE JACQUELINE DE ROMILLY;158;99.0;95.0;129;134.2;30.8
0011151W;COLLEGE PRIVE SAINT JOSEPH;78;96.0;98.0;63;129.8;26.8
0010037K;COLLEGE LOUISE DE SAVOIE;129;78.0;95.0;80;110.1;33.8
0010039M;COLLEGE DE L'ALBARINE;62;79.0;96.0;45;97.7;30.0
0010076C;COLLEGE PRIVE SAINTE MARIE;78;99.0;88.0;68;118.5;28.9
0010080G;COLLEGE PRIVE JEANNE D'ARC;81;98.0;83.0;70;114.2;27.9
0010083K;COLLEGE PRIVE SAINT LOUIS;168;98.0;97.0;156;118.0;27.0
0010088R;COLLEGE PRIVE JEANNE D'ARC;162;100.0;88.0;160;137.4;26.5
0010092V;COLLEGE PRIVE SAINT JOSEPH;114;91.0;86.0;88;108.9;29.6
0010820L;COLLEGE GEORGE SAND;102;91.0;92.0;75;106.5;29.0
0010964T;COLLEGE ANNE FRANK;127;87.0;92.0;96;117.7;38.1
0010974D;COLLEGE VICTOIRE DAUBIE;118;64.0;90.0;63;89.6;30.4
0011068F;COLLEGE XAVIER BICHAT;66;85.0;88.0;36;99.7;36.9
0011070H;COLLEGE ANTOINE CHINTREUIL;99;90.0;92.0;73;101.2;30.7
0011071J;COLLEGE LE GRAND CEDRE;86;83.0;95.0;54;107.5;28.7
0011301J;COLLEGE LE JORAN;171;97.0;81.0;142;122.2;33.5
0011387C;COLLEGE LUCIE AUBRAC;153;90.0;90.0;115;112.6;31.8
0020007X;COLLEGE HENRI MATISSE;83;78.0;89.0;49;70.9;21.8
0020009Z;COLLEGE PIERRE ET MARIE CURIE;115;83.0;97.0;68;93.3;29.9
0020018J;COLLEGE LEON DROUSSENT;84;85.0;98.0;54;90.1;30.1
0020039G;COLLEGE COLBERT QUENTIN;70;90.0;88.0;49;86.9;29.6
0020043L;COLLEGE JULES FERRY;45;96.0;95.0;33;85.1;24.3
0020066L;COLLEGE MARCEL PAGNOL;79;94.0;95.0;64;104.7;32.6
0020090M;COLLEGE CHARLEMAGNE;122;85.0;89.0;78;75.0;25.3
0020472C;COLLEGE PRIVE NOTRE DAME DE LIESSE;41;98.0;70.0;38;109.1;25.9
0021492L;COLLEGE GERARD PHILIPE;86;69.0;86.0;40;65.7;16.6
0021518P;COLLEGE MARIE DE LUXEMBOURG;87;79.0;81.0;56;86.5;28.1
0021595Y;COLLEGE PIERRE SELLIER;64;97.0;94.0;48;89.1;29.3
0021688Z;COLLEGE MAX DUSSUCHAL;126;83.0;92.0;82;91.3;30.9
0021778X;COLLEGE JACQUES PREVERT;71;85.0;88.0;43;84.1;29.4
0021823W;COLLEGE HENRI MARTIN;99;90.0;88.0;77;84.3;31.3
0021826Z;COLLEGE JEAN ROSTAND;162;70.0;86.0;82;91.6;29.4
0030030S;COLLEGE JEAN ZAY;64;86.0;97.0;34;76.7;26.3
0030035X;COLLEGE JEANNE CLUZEL;31;97.0;93.0;21;94.9;30.3
0030039B;COLLEGE CHARLES PEGUY;127;93.0;93.0;102;107.7;32.2
0030104X;COLLEGE PRIVE NOTRE DAME DES VICTOIRES;31;97.0;75.0;25;107.8;29.7
0030838V;COLLEGE EMILE GUILLAUMIN;89;90.0;93.0;63;84.3;28.2
0030981A;COLLEGE PRIVE SAINT-JOSEPH;59;100.0;82.0;52;114.2;30.2
0031010G;COLLEGE VICTOR HUGO;72;89.0;97.0;55;99.8;31.2
0040022C;COLLEGE GASSENDI;142;89.0;92.0;100;108.5;32.1
0050025A;COLLEGE MAUZAN;151;94.0;87.0;112;105.1;32.8
0050409T;COLLEGE GIRAUDES (LES);60;97.0;90.0;44;108.2;32.2
0050452P;COLLEGE HAUTS DE PLAINE (LES);67;97.0;99.0;51;98.9;28.2
0060045S;COLLEGE ANTOINE RISSO;93;88.0;73.0;50;74.5;23.2
0060068S;COLLEGE RENE CASSIN;175;98.0;93.0;134;114.0;31.5
0060841G;COLLEGE JEAN-HENRI FABRE;166;84.0;88.0;88;88.6;28.7
0060842H;COLLEGE PIERRE BERTONE;149;87.0;91.0;100;104.9;32.6
0060911H;COLLEGE LES BREGUIERES;107;93.0;89.0;72;99.9;34.0
0061001F;COLLEGE NUCERA LOUIS;143;75.0;78.0;66;66.4;20.9
0061130W;COLLEGE PAUL LANGEVIN;147;95.0;94.0;120;99.8;32.0
0061174U;COLLEGE GERARD PHILIPE;104;92.0;89.0;61;81.1;24.0
0061211J;COLLEGE PABLO PICASSO;200;86.0;91.0;119;84.3;27.1
0061456A;COLLEGE PRIVE MONT SAINT JEAN;85;100.0;91.0;83;133.2;27.2
0061795U;COLLEGE LA CHENAIE;172;97.0;92.0;142;117.4;34.9
0061825B;COLLEGE ROMEE DE VILLENEUVE;153;97.0;85.0;122;115.4;33.2
0061924J;COLLEGE LES MIMOSAS;107;93.0;99.0;70;108.9;33.6
0061986B;COLLEGE SIMON WIESENTHAL;100;99.0;91.0;86;108.2;31.9
0062056C;COLLEGE CESAR;191;98.0;94.0;176;142.9;31.2
0070011Z;COLLEGE CHARLES DE GAULLE;134;96.0;98.0;110;112.4;32.8
0070017F;COLLEGE LA SEGALIERE;50;92.0;87.0;39;107.0;32.2
0070019H;COLLEGE ALEX MEZENC;83;83.0;89.0;53;104.5;29.7
0070025P;COLLEGE DE L' EYRIEUX;34;88.0;93.0;23;106.7;32.4
0070037C;COLLEGE LEONCE VIELJEUX;62;97.0;90.0;53;104.7;30.9
0070040F;COLLEGE LABOISSIERE;105;92.0;92.0;75;107.4;31.6
0070059B;COLLEGE PRIVE NOTRE DAME;114;98.0;91.0;92;103.4;27.2
0070060C;COLLEGE PRIVE SACRE COEUR;165;100.0;91.0;154;112.3;28.4
0070062E;COLLEGE PRIVE ST FRANCOIS D'ASSISE;179;98.0;92.0;154;108.6;25.3
0071169H;COLLEGE ROQUA;115;92.0;87.0;91;100.2;33.0
0080084Y;COLLEGE PRIVE ST JEAN-BAPTISTE DE LA SALLE;164;95.0;87.0;144;115.4;27.8
0080089D;COLLEGE PRIVE ST LOUIS;34;97.0;90.0;31;101.7;21.5
0080827F;COLLEGE LES DEUX VALLEES;50;70.0;93.0;28;84.4;28.1
0080897G;COLLEGE ROBERT DE SORBON;92;76.0;95.0;54;94.9;31.9
0080925M;COLLEGE LEO LAGRANGE;64;69.0;86.0;36;66.7;16.7
0080954U;COLLEGE BAYARD;61;77.0;78.0;29;82.4;27.9
0080994M;COLLEGE PRIVE NOTRE DAME;87;100.0;94.0;86;120.7;26.6
0081102E;COLLEGE MULTISITE ASFELD - CHATEAU PORCIEN;112;74.0;94.0;68;98.6;30.0
0081104G;COLLEGE SIGNY L'ABBAYE;67;64.0;94.0;36;94.8;29.8
0090037S;COLLEGE PRIVE JEAN XXIII;78;94.0;76.0;57;106.8;27.9
0090056M;COLLEGE JOSEPH-PAUL RAMBAUD;139;84.0;88.0;83;93.1;33.2
0090478W;COLLEGE LAKANAL;203;91.0;94.0;151;107.0;35.9
0090574A;COLLEGE MONT VALIER;149;88.0;96.0;102;104.0;29.4
0100033G;COLLEGE CHARLES DELAUNAY;115;80.0;94.0;72;108.4;32.6
0100051B;COLLEGE PRIVE ST LOUP;31;94.0;75.0;26;108.0;29.5
0100057H;COLLEGE PRIVE ST PIERRE EN L'ISLE;90;90.0;72.0;70;101.4;27.1
0100664T;COLLEGE PAUL LANGEVIN;164;88.0;93.0;116;105.7;34.3
0100785Z;COLLEGE PIERRE LABONDE;106;86.0;90.0;78;98.7;29.1
0100786A;COLLEGE JEAN JAURES;148;74.0;96.0;71;94.7;30.7
0100905E;COLLEGE LE NOYER MARCHAND;119;63.0;93.0;61;86.0;27.8
0100961R;COLLEGE PRIVE ST FRANCOIS DE SALES;100;98.0;89.0;92;125.2;29.6
0110044N;COLLEGE PRIVE JEANNE D ARC;148;99.0;87.0;139;121.6;27.5
0110721Z;COLLEGE ANTOINE COURRIERE;87;98.0;93.0;72;111.4;30.2
0110788X;COLLEGE MONTESQUIEU;93;84.0;89.0;61;88.5;31.7
0110859Z;COLLEGE JOSEPH DELTEIL;204;86.0;94.0;149;95.2;32.3
0120002M;COLLEGE VOLTAIRE;66;98.0;92.0;52;105.7;31.7
0120082Z;COLLEGE PRIVE SAINT-LOUIS;33;97.0;95.0;25;107.4;30.2
0120101V;COLLEGE AMANS-JOSEPH FABRE;152;93.0;91.0;115;108.2;34.0
0121259D;COLLEGE PRIVE JEANNE D'ARC;133;96.0;94.0;100;105.1;24.8
0121273U;COLLEGE LES QUATRE SAISONS;102;99.0;92.0;91;98.4;34.3
0130093F;COLLEGE FRAISSINET;113;78.0;93.0;55;94.9;32.8
0130139F;COLLEGE COIN JOLI SEVIGNE;61;82.0;89.0;32;83.5;27.9
0130156Z;COLLEGE LOUIS ARAGON;174;95.0;97.0;135;123.6;33.7
0130163G;COLLEGE JOSEPH D ARBAUD;214;90.0;89.0;156;106.0;32.2
0131262B;COLLEGE JACQUES PREVERT;80;86.0;87.0;49;71.5;17.9
0131265E;COLLEGE JEAN MOULIN;118;82.0;88.0;67;77.9;26.5
0131336G;COLLEGE PRIVE CHEVREUL CHAMPAVIER;89;100.0;92.0;89;126.2;27.4
0131375Z;COLLEGE PRIVE ST MAURONT;50;88.0;85.0;20;75.1;23.6
0131385K;COLLEGE PRIVE ST EUGENE DE MAZENOD;93;100.0;97.0;93;134.9;27.9
0131548M;COLLEGE SYLVAIN MENU;149;97.0;90.0;112;116.5;35.4
0131603X;COLLEGE ADOLPHE MONTICELLI;106;86.0;78.0;62;120.9;35.1
0131604Y;COLLEGE HENRI WALLON;113;87.0;87.0;67;65.1;16.4
0131700C;COLLEGE PESQUIER;146;84.0;92.0;98;112.0;34.7
0131703F;COLLEGE EDOUARD MANET;85;87.0;84.0;49;59.6;15.4
0131723C;COLLEGE JEAN JAURES;136;93.0;97.0;109;111.2;34.2
0131756N;COLLEGE DARIUS MILHAUD;150;79.0;90.0;85;89.2;29.5
0131757P;COLLEGE ESTAQUE (L');135;80.0;88.0;75;99.6;31.2
0131884C;COLLEGE BELLE DE MAI;134;82.0;87.0;64;72.8;19.6
0131931D;COLLEGE THIERS;96;98.0;87.0;83;112.1;44.5
0132312T;COLLEGE ANDRE MALRAUX;190;89.0;92.0;139;110.7;33.8
0132325G;COLLEGE CAMPRA;106;94.0;90.0;80;120.5;37.3
0132403S;COLLEGE FRANCOIS VILLON;90;78.0;87.0;53;86.1;27.8
0132409Y;COLLEGE ALPHONSE DAUDET;119;88.0;92.0;68;84.3;31.5
0132411A;COLLEGE HENRI BOSCO;185;83.0;92.0;110;97.8;34.1
0132494R;COLLEGE AMANDEIRETS (LES);198;86.0;93.0;127;98.6;29.8
0132565T;COLLEGE JACQUES MONOD;183;90.0;93.0;140;117.3;32.7
0132789L;COLLEGE PRIVE VIALA LACOSTE;146;100.0;95.0;139;135.6;26.0
0132834K;COLLEGE CHARLES RIEU;233;95.0;99.0;172;109.0;32.3
0132909S;COLLEGE PRIVE COURS BASTIDE;90;100.0;94.0;86;131.4;25.3
0132921E;COLLEGE PRIVE STE MARIE;223;100.0;95.0;208;129.7;29.2
0132923G;COLLEGE PRIVE CHEVREUL BLANCARDE;139;100.0;88.0;134;135.1;27.7
0132947H;COLLEGE PRIVE LACORDAIRE;170;100.0;88.0;169;141.1;22.7
0132951M;COLLEGE PRIVE STE TRINITE;117;98.0;96.0;111;127.4;29.2
0132954R;COLLEGE PRIVE STE MARIE - BLANCARDE;83;100.0;90.0;83;135.7;26.4
0133016H;COLLEGE LOUIS LEPRINCE RINGUET;158;88.0;95.0;112;125.8;33.8
0133196D;COLLEGE SIMONE DE BEAUVOIR;143;97.0;95.0;124;114.7;33.8
0133203L;COLLEGE LOUIS PASTEUR;132;91.0;92.0;95;102.5;30.3
0133492A;COLLEGE JEAN BERNARD;164;86.0;94.0;95;107.4;33.6
0133790Z;COLLEGE LUCIE AUBRAC;115;95.0;99.0;80;117.7;32.6
0140082N;COLLEGE OCTAVE MIRBEAU;37;95.0;96.0;25;97.4;28.2
0140087U;COLLEGE JACQUES PREVERT;187;99.0;91.0;170;121.2;34.2
0140088V;COLLEGE SIMONE VEIL;123;93.0;96.0;91;109.9;30.9
0141226G;COLLEGE PRIVE SAINTE THERESE;77;96.0;93.0;58;111.1;26.9
0141271F;COLLEGE JEAN MONNET;149;97.0;96.0;135;113.4;34.7
0141312A;COLLEGE CINGAL;122;89.0;97.0;85;107.6;31.0
0141763R;COLLEGE ANDRE MAUROIS;73;97.0;88.0;57;111.6;30.5
0141764S;COLLEGE DES DOUITS;178;91.0;95.0;129;100.7;33.5
0141860W;COLLEGE PRIVE INSTITUTION JEANNE D ARC;161;97.0;96.0;128;112.4;28.3
0142145F;COLLEGE LE VAL DE VIRE;57;86.0;79.0;37;92.0;30.3
0150639N;COLLEGE JEANNE DE LA TREILHE;85;94.0;85.0;71;115.8;35.1
0150708N;COLLEGE PRIVE GERBERT;66;100.0;86.0;62;112.9;27.8
0160039F;COLLEGE VAL DE CHARENTE;41;100.0;87.0;30;91.5;30.2
0160113L;COLLEGE MICHELLE PALLET;43;65.0;89.0;19;64.1;18.8
0160115N;COLLEGE ALBERT MICHENEAU;33;85.0;92.0;23;88.8;27.5
0160116P;COLLEGE ELISEE MOUSNIER;92;95.0;91.0;72;112.3;33.9
0160120U;COLLEGE JEAN DE LA QUINTINIE;47;89.0;84.0;33;89.4;26.4
0160863B;COLLEGE MAURICE GENEVOIX;90;94.0;93.0;69;104.3;30.2
0160884Z;COLLEGE MARGUERITE DE VALOIS;94;89.0;84.0;63;83.9;27.7
0161048C;COLLEGE PRIVE SAINT PAUL;178;100.0;83.0;159;122.8;29.9
0161050E;COLLEGE PRIVE SAINT JOSEPH;111;96.0;84.0;89;121.3;25.8
0161106R;COLLEGE ANATOLE FRANCE;58;93.0;91.0;44;108.2;34.1
0170002K;COLLEGE ARLETTE GUIRADO;64;92.0;94.0;49;100.4;27.8
0170009T;COLLEGE JULES FERRY;105;83.0;91.0;59;99.0;26.4
0170011V;COLLEGE LEOPOLD DUSSAIGNE;105;92.0;94.0;82;99.9;33.5
0170016A;COLLEGE DIDIER DAURAT;52;83.0;91.0;32;94.7;26.3
0170047J;COLLEGE JEAN MONNET;125;91.0;96.0;97;107.2;29.0
0170048K;COLLEGE BERNARD ROUSSILLON;54;69.0;96.0;23;93.9;28.6
0170056U;COLLEGE ROBERT-CELLERIER;81;90.0;93.0;58;101.7;28.5
0170071K;COLLEGE HELENE DE FONSEQUE;121;94.0;91.0;91;99.2;29.7
0170082X;COLLEGE MARCEL PAGNOL;52;98.0;96.0;45;98.3;27.5
0170142M;COLLEGE ALBERT CAMUS;63;92.0;88.0;49;104.8;33.8
0170384A;COLLEGE PRIVE SAINTE MARIE ST JEAN BAPTISTE;59;98.0;69.0;56;125.0;33.3
0170386C;COLLEGE JEAN HAY;103;91.0;88.0;77;97.3;29.9
0170970M;COLLEGE JEAN GUITON;215;99.0;97.0;193;119.4;34.6
0171022U;COLLEGE MAURICE CALMEL;113;80.0;92.0;71;108.9;28.1
0171057G;COLLEGE PIERRE LOTI;113;95.0;89.0;92;104.9;33.4
0171117X;COLLEGE FABRE D EGLANTINE;115;87.0;92.0;77;103.9;38.3
0171122C;COLLEGE EMILE ZOLA;154;91.0;92.0;122;111.1;31.9
0171215D;COLLEGE PERTUIS D ANTIOCHE;71;92.0;91.0;55;101.0;26.8
0180002E;COLLEGE GERARD PHILIPE;121;89.0;97.0;92;89.7;26.7
0180019Y;COLLEGE BETHUNE-SULLY;82;84.0;98.0;53;103.0;32.9
0180037T;COLLEGE EDOUARD VAILLANT;128;91.0;94.0;85;75.4;25.6
0180591V;COLLEGE SAINT-EXUPERY;158;90.0;88.0;113;111.7;34.3
0180593X;COLLEGE VICTOR HUGO;98;83.0;84.0;62;83.7;31.1
0180736C;COLLEGE LE COLOMBIER;82;91.0;93.0;52;99.0;28.9
0180745M;COLLEGE ROGER MARTIN DU GARD;53;87.0;95.0;33;95.5;24.4
0180777X;COLLEGE JEAN RENOIR;102;87.0;91.0;64;103.2;37.8
0190002Z;COLLEGE COLLEGE SIMONE VEIL;73;96.0;96.0;55;97.3;26.5
0190014M;COLLEGE JEAN LURCAT;134;93.0;91.0;96;98.9;33.6
0190025Z;COLLEGE JACQUES CHIRAC;51;84.0;85.0;23;100.1;30.2
0190059L;OGEC EDMOND MICHELET COLLEGE NOTRE DAME JEANNE D'ARC;118;97.0;82.0;99;126.8;26.9
0190065T;COLLEGE PRIVE LA SALLE;32;97.0;69.0;24;105.1;26.0
0190635M;COLLEGE JEAN MOULIN;85;76.0;88.0;42;72.7;20.2
0190695C;COLLEGE ANDRE FARGEAS;77;94.0;90.0;56;101.6;29.6
0210027R;COLLEGE HENRY BERGER;47;96.0;100.0;33;105.0;25.4
0210029T;COLLEGE PAUL FORT;150;96.0;96.0;122;113.2;31.7
0210041F;COLLEGE ANDRE LALLEMAND;58;93.0;100.0;42;105.6;29.4
