nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
90,90.0,92.0,64,96.1,29.0
65,97.0,93.0,62,91.0,28.5
83,98.0,78.0,62,114.4,29.6
48,98.0,90.0,41,101.1,23.7
90,74.0,90.0,53,87.6,28.5
164,91.0,96.0,117,95.4,29.0
62,89.0,89.0,42,99.4,33.3
51,82.0,89.0,30,84.6,27.2
46,98.0,93.0,36,111.5,31.2
121,94.0,95.0,92,117.7,32.7
88,95.0,94.0,77,104.0,30.3
45,87.0,91.0,28,90.9,26.9
46,87.0,76.0,24,63.0,19.0
74,96.0,84.0,66,117.1,31.0
135,99.0,83.0,114,114.3,29.5
166,99.0,94.0,134,104.1,28.0
44,98.0,96.0,34,97.5,29.3
67,82.0,96.0,38,90.4,25.8
81,94.0,91.0,65,117.6,32.8
42,86.0,80.0,28,71.2,23.2
42,93.0,93.0,25,90.8,24.3
49,100.0,98.0,48,103.6,24.8
77,90.0,90.0,56,109.1,34.5
130,95.0,96.0,106,98.5,29.5
82,100.0,93.0,66,100.4,28.0
81,84.0,92.0,56,90.9,28.6
80,91.0,91.0,48,95.8,27.7
117,94.0,94.0,89,108.0,34.3
33,100.0,87.0,29,97.7,22.5
42,100.0,94.0,36,97.6,19.7
60,93.0,88.0,44,80.5,26.8
71,93.0,93.0,53,95.8,32.7
38,87.0,88.0,27,103.1,33.1
39,87.0,96.0,29,92.9,25.2
45,91.0,91.0,33,86.6,27.1
99,85.0,95.0,62,101.3,26.1
66,95.0,98.0,59,105.9,29.7
106,87.0,98.0,78,118.0,32.6
35,86.0,91.0,23,104.9,27.4
136,99.0,94.0,126,120.7,29.7
109,73.0,90.0,66,98.8,37.8
117,77.0,98.0,65,106.5,30.8
86,81.0,89.0,54,82.8,29.3
119,74.0,91.0,66,87.0,28.0
54,98.0,85.0,43,105.8,27.6
113,97.0,62.0,99,129.0,30.4
55,85.0,98.0,40,87.7,26.3
38,92.0,98.0,29,89.7,23.4
68,84.0,100.0,50,100.0,30.4
115,61.0,93.0,48,83.0,26.4
33,85.0,96.0,22,91.4,26.0
72,94.0,96.0,60,113.2,25.5
49,100.0,100.0,41,97.4,27.2
70,94.0,93.0,51,105.1,29.7
94,93.0,93.0,77,106.9,34.0
86,98.0,94.0,74,97.9,24.2
47,94.0,91.0,37,104.1,28.3
36,97.0,79.0,32,95.4,21.6
122,96.0,92.0,101,105.7,35.0
83,86.0,89.0,54,80.1,30.0
93,95.0,91.0,74,103.7,31.8
47,91.0,87.0,33,103.9,28.2
35,97.0,93.0,26,97.8,25.5
31,84.0,88.0,19,94.6,23.5
101,94.0,90.0,78,97.1,28.5
71,90.0,86.0,50,91.5,31.0
107,93.0,93.0,80,107.5,33.6
97,99.0,90.0,83,100.5,31.7
143,94.0,95.0,101,101.1,30.5
60,95.0,86.0,51,110.6,40.3
104,88.0,96.0,74,111.7,33.8
46,85.0,100.0,33,100.7,28.5
100,96.0,93.0,73,102.7,32.5
112,86.0,95.0,72,106.9,31.6
102,79.0,83.0,59,83.4,26.5
235,100.0,93.0,232,135.2,27.8
58,88.0,85.0,40,85.5,29.1
67,94.0,89.0,45,86.8,27.0
111,93.0,90.0,97,119.3,35.3
130,91.0,95.0,101,110.6,32.7
66,98.0,96.0,57,127.0,31.6
86,98.0,80.0,70,99.3,24.9
49,94.0,76.0,30,112.8,28.7
57,93.0,98.0,42,97.7,25.1
88,92.0,92.0,65,89.3,27.4
86,87.0,91.0,55,92.6,31.1
69,90.0,86.0,46,87.3,29.7
90,77.0,88.0,56,86.8,32.6
45,87.0,86.0,32,80.7,31.8
80,84.0,91.0,52,95.7,33.4
133,89.0,92.0,90,109.0,32.6
148,99.0,85.0,145,128.6,29.5
77,74.0,95.0,34,91.1,32.3
101,94.0,91.0,73,106.2,33.5
118,96.0,96.0,83,99.4,28.8
167,86.0,95.0,103,94.3,27.1
175,85.0,93.0,108,96.5,29.0
143,92.0,97.0,96,98.7,31.9
161,80.0,93.0,93,86.0,27.1
101,78.0,88.0,54,88.1,30.0
137,88.0,93.0,91,108.6,33.2
205,93.0,94.0,141,107.2,32.6
139,96.0,95.0,119,113.3,30.1
174,89.0,92.0,108,102.9,28.1
91,84.0,93.0,45,92.7,29.5
160,95.0,93.0,122,115.5,31.9
157,96.0,97.0,129,106.5,35.0
163,91.0,93.0,101,100.1,33.8
103,90.0,92.0,76,98.7,35.8
92,88.0,94.0,64,103.0,29.2
104,100.0,93.0,99,126.2,25.6
297,100.0,92.0,293,134.2,25.3
95,86.0,93.0,60,109.9,33.9
137,93.0,95.0,102,106.6,30.8
107,88.0,97.0,64,116.6,34.4
104,93.0,87.0,77,91.8,30.1
119,92.0,93.0,75,97.0,27.7
113,96.0,94.0,78,109.1,31.1
87,92.0,90.0,58,105.6,34.0
123,82.0,85.0,73,109.4,31.1
241,90.0,95.0,174,137.9,33.5
140,78.0,88.0,79,108.2,34.9
113,76.0,87.0,56,83.2,24.4
121,86.0,88.0,72,81.9,27.5
127,89.0,94.0,67,97.3,31.1
113,89.0,87.0,80,124.2,36.1
132,90.0,94.0,71,99.3,33.8
106,95.0,90.0,85,139.5,34.8
105,88.0,94.0,73,123.3,36.7
126,87.0,95.0,86,112.0,38.2
223,99.0,95.0,203,140.7,32.6
85,96.0,90.0,61,81.7,29.4
76,74.0,96.0,37,88.2,31.4
115,94.0,88.0,94,124.9,35.5
148,92.0,93.0,114,135.2,35.1
238,100.0,94.0,232,141.2,19.9
132,100.0,91.0,124,135.3,25.3
101,93.0,96.0,85,107.6,30.6
54,76.0,99.0,30,96.4,28.8
35,80.0,93.0,21,92.7,28.7
63,89.0,95.0,43,99.2,27.9
128,93.0,93.0,100,100.2,25.0
155,90.0,98.0,118,115.6,32.9
80,86.0,92.0,56,89.4,32.6
126,100.0,94.0,116,130.1,25.0
81,96.0,95.0,71,114.7,35.2
87,83.0,90.0,56,85.9,28.9
60,88.0,91.0,41,90.3,29.0
181,100.0,85.0,172,120.8,31.1
68,99.0,85.0,64,102.7,25.6
212,96.0,90.0,177,122.1,37.4
76,100.0,95.0,76,107.9,26.1
69,94.0,98.0,52,84.8,27.5
46,87.0,94.0,33,98.7,25.1
52,92.0,88.0,37,100.5,28.7
123,98.0,97.0,103,116.7,32.5
187,96.0,96.0,160,119.8,33.5
79,96.0,89.0,63,107.9,37.9
97,91.0,81.0,72,84.5,31.5
